㐀	0078.010
㐁	0078.030
㐂	0078.101
㐃	0079.021
㐄	0079.020
㐅	0081.180
㐆	0083.011
㐇	0084.051
㐈	0084.051
㐉	0084.051
㐊	0084.071
㐋	0084.071
㐌	0084.080
㐍	0084.101
㐎	0084.101
㐏	0084.101
㐐	0084.141
㐑	0084.141
㐒	0084.141
㐓	0084.141
㐔	0084.141
㐕	0084.141
㐖	0084.160
㐗	0084.161
㐘	0084.161
㐙	0084.201
㐚	0084.201
㐛	0084.201
㐜	0084.220
㐝	0084.241
㐞	0084.241
㐟	0084.241
㐠	0084.241
㐡	0084.310
㐢	0084.321
㐣	0084.321
㐤	0084.321
㐥	0085.061
㐦	0085.071
㐧	0085.191
㐨	0085.230
㐩	0087.141
㐪	0088.111
㐫	0088.111
㐬	0088.150
㐭	0089.010
㐮	0089.201
㐯	0089.241
㐰	0092.080
㐱	0092.110
㐲	0093.080
㐳	0094.030
㐴	0094.050
㐵	0094.051
㐶	0094.051
㐷	0094.051
㐸	0094.100
㐹	0094.140
㐺	0095.220
㐻	0096.090
㐼	0096.110
㐽	0096.121
㐾	0096.121
㐿	0096.121
㑀	0096.121
㑁	0096.150
㑂	0096.190
㑃	0097.050
㑄	0098.020
㑅	0100.021
㑆	0100.021
㑇	0100.021
㑈	0100.021
㑉	0100.050
㑊	0100.200
㑋	0100.260
㑌	0101.210
㑍	0102.110
㑎	0102.190
㑏	0102.230
㑐	0102.291
㑑	0102.291
㑒	0102.291
㑓	0102.291
㑔	0102.291
㑕	0102.291
㑖	0102.291
㑗	0103.050
㑘	0103.120
㑙	0103.240
㑚	0103.290
㑛	0104.120
㑜	0105.010
㑝	0105.060
㑞	0105.070
㑟	0105.220
㑠	0106.041
㑡	0106.041
㑢	0106.041
㑣	0106.130
㑤	0106.150
㑥	0106.160
㑦	0107.240
㑧	0109.171
㑨	0109.171
㑩	0109.171
㑪	0109.171
㑫	0109.171
㑬	0109.171
㑭	0109.171
㑮	0110.100
㑯	0111.130
㑰	0111.160
㑱	0112.071
㑲	0112.071
㑳	0112.100
㑴	0112.120
㑵	0113.030
㑶	0113.040
㑷	0113.060
㑸	0114.051
㑹	0114.051
㑺	0114.051
㑻	0114.130
㑼	0114.210
㑽	0114.270
㑾	0114.290
㑿	0115.130
㒀	0115.150
㒁	0115.220
㒂	0118.230
㒃	0116.090
㒄	0116.240
㒅	0117.060
㒆	0117.110
㒇	0117.130
㒈	0117.150
㒉	0117.220
㒊	0117.250
㒋	0117.280
㒌	0118.030
㒍	0118.051
㒎	0118.051
㒏	0118.051
㒐	0118.051
㒑	0118.120
㒒	0118.220
㒓	0119.010
㒔	0119.070
㒕	0119.140
㒖	0119.231
㒗	0119.231
㒘	0119.231
㒙	0119.250
㒚	0119.320
㒛	0119.360
㒜	0120.040
㒝	0120.150
㒞	0120.190
㒟	0121.070
㒠	0121.140
㒡	0121.291
㒢	0119.231
㒣	0121.291
㒤	0121.310
㒥	0121.330
㒦	0121.340
㒧	0121.370
㒨	0122.061
㒩	0122.100
㒪	0122.120
㒫	0124.140
㒬	0125.131
㒭	0125.190
㒮	0125.201
㒯	0125.291
㒰	0126.030
㒱	0126.041
㒲	0126.080
㒳	0126.100
㒴	0126.120
㒵	0127.160
㒶	0127.170
㒷	0127.171
㒸	0128.050
㒹	0128.280
㒺	0129.191
㒻	0129.290
㒼	0129.320
㒽	0129.350
㒾	0130.020
㒿	0130.100
㓀	0130.151
㓁	0130.151
㓂	0130.231
㓃	0131.040
㓄	0131.080
㓅	0131.160
㓆	0131.291
㓇	0131.291
㓈	0132.040
㓉	0132.080
㓊	0132.090
㓋	0132.130
㓌	0132.190
㓍	0132.201
㓎	0132.220
㓏	0132.290
㓐	0132.340
㓑	0132.360
㓒	0133.011
㓓	0133.070
㓔	0133.120
㓕	0133.211
㓖	0133.280
㓗	0133.330
㓘	0134.301
㓙	0135.151
㓚	0136.150
㓛	0137.021
㓜	0342.041
㓝	0137.120
㓞	0137.150
㓟	0137.360
㓠	0138.180
㓡	0138.380
㓢	0138.450
㓣	0139.080
㓤	0139.180
㓥	0139.251
㓦	0139.251
㓧	0140.200
㓨	0140.210
㓩	0140.220
㓪	0140.290
㓫	0140.291
㓬	0141.150
㓭	0141.240
㓮	0141.330
㓯	0141.340
㓰	0141.411
㓱	0142.050
㓲	0142.090
㓳	0142.100
