㔩	qop
栖	*sei
栗	*lit
校	gàu hàu
株	djio
根	*gən
格	gæk
桁	hɑ̀ng
桂	*guèi
桃	*dhɑu
案	qɑ̀n
桎	jit
桐	*dhung
桑	*sɑng
桓	huɑn
桷	gak
梁	*liɑng
梅	*məi
梏	gok
梓	tziə̌
梔	jiɛ
梗	gæ̌ng
條	*dheu
梟	keu
梢	shrau
梧	*ngo
梨	*li
梭	suɑ
梯	tei
梳	*shriu
梵	bhiæ̀m
棃	*li
棄	*kì
棆	luin
棉	*miɛn
棋	ghiə
棗	tzɑ̌u
棘	*giək
棟	dùng
棠	dhɑng
棧	jrhàn
森	*shrim
棱	ləng lə̀ng
棲	*sei
棹	*djhàu
棺	guɑn
椀	quɑ̌n
植	djhiə̀
椎	djhui
椒	tziɛu
椶	tzung
椽	djhiuɛn
楊	*iɑng
楓	*biung
楚	*chriǔ
楫	tziɛp
業	*ngiæp
極	*ghiək
楸	tsiou
楹	iɛng
榆	io
榕	iong
榛	jrin
榜	bæ̀ng bɑ̀ng
榦	gɑ̀n
榭	zià
榮	*hiuæng
榴	liou
榻	tɑp
槁	gɑ̌u
構	gòu
槍	tsiɑng
槎	jrha
槐	hiəi huɛi
槩	gə̀i
槪	gə̀i
槳	tziɑ̌ng
槿	giə̌n
樂	*lɑk *ngak
樓	*lou
樗	chio
標	*biɛu
樛	giəu
樞	chio
樣	iɑ̀ng
樵	*dzhiɛu
樸	pak
樹	*zhiò *zhiǒ
樽	*tzuən
橈	njiɛu
橋	*ghyɛu
橐	tɑk
橘	*guit
橙	djhɛng
機	*giəi
橡	ziɑ̌ng
橦	dhung djhang jiong
橫	*huæng guɑ̀ng
檀	dhɑn
檄	hek
檐	*iɛm
檝	tziɛp
檢	gyɛ̌m
檣	dzhiɑng
檻	hǎm
櫂	*djhàu
櫚	liu
櫛	jrit
櫪	lek
櫳	lung
櫻	qɛng
欃	chram
欄	*lɑn
權	*ghyuɛn
欒	luɑn
欠	kiuæ̀m
次	tsì
欣	xiən
欲	*iok
欸	qə̌i
欹	gyɛ
欺	kiə
欻	xiuət
欽	kim
款	kuɑn
歇	*xiæt
歌	*gɑ
歎	*tɑn tɑ̀n
歐	qǒu
歘	xiuət
歛	liɛ̀m liɛ̌m
歡	*xuɑn
止	*jiə̌
正	*jiɛ̀ng
此	*tsiɛ̌
步	*bhò
武	*miǒ
歧	ghiɛ
歲	*siuɛ̀i
歷	*lek
歸	*giuəi
死	*sǐ
歾	mət
殉	zuìn
殊	*zhio
殘	*dzhɑn
殞	hyuǐn
殲	tziɛm
殷	*qiən qiə̌n qɛn
殺	*shrat *shræ̀i
殼	kak
殿	*dhèn
毅	ngiə̀i
毋	mio
母	*mǒu
每	*mə̌i
毒	dhok
比	*bǐ bhi bì
毛	*mɑu
毫	hɑu
毿	som
氊	jiɛn
氏	*zhiɛ̌ jiɛ
民	min
氛	piən
氣	*kiə̀i
氳	qiuən
水	*shuǐ
永	*hiuæ̌ng
汀	teng
求	*ghiou
汎	*piæ̀m
汗	*hɑ̀n hɑn
汝	*njiǔ
江	*gang
池	*cjhiɛ
污	qo qò
汨	mek
汩	guət
汪	quɑng
汰	tɑ̀i
汲	*gyip
汴	bhyɛ̀n
汶	miə̀n
汾	bhiən
沃	qok
沅	ngiuæn
沈	*djhim shǐm
沉	*djhim
沐	muk
沓	dhop
沙	*shra
没	*mət
沬	mɑt
沮	dzhiǔ tsiu tziù
沱	dhɑ
河	*ha
沸	piə̀i
油	iou
治	djhiə djhiə̀ djhì
沼	jiɛ̌u
沽	*go gò
沾	*djiɛm
沿	*iuɛn
況	*xiuɑ̀ng
泄	siɛt
泉	*dzhiuɛn
泊	*bhɑk
法	*biæp
泗	sì
泛	*piæ̀m
泝	sò
泠	leng
波	*bɑ
泣	*kyip
泥	*nei nèi
注	jiò
泫	huěn
泯	mǐn
泱	qiɑng
泳	hiuæ̀ng
洄	*huəi
洋	iɑng
洎	ghyì
洗	*sěi
洛	*lɑk
洞	*dhùng dhung
津	*tsin
洩	iɛ̀i
洪	*hung
洮	tɑu
洲	*jiou
洶	xiǒng
活	huɑt
派	pɛ̀i
流	*liou
浣	huɑ̌n
浤	huɛng
浥	gyip
浦	*pǒ
浩	*hɑ̌u
浪	*lɑ̀ng lɑng
浮	*bhiou
浴	iok
海	*xə̌i
浸	tzìm
涇	geng
消	siɛu
涉	zhiɛp
涌	*iǒng
涎	ziɛn
涓	*guen
涕	*tèi
涯	*ngɛi
液	iɛk
涵	*hom
涸	hɑk
涼	*liɑng
淋	*lim
淑	zhiuk
淒	*tsei
淙	czhong jrhang
淚	*luì
淞	siong
淡	*dhɑ̀m *dhɑ̌m
淨	*dzhiɛ̀ng
淩	liəng
淮	*huæi
深	*shim
淳	zhuin
混	huə̌n
淹	*gyɛm
淺	*tsiɛ̌n
添	*tem
淼	miɛ̌u
清	*tsiɛng
渌	liok luk
渚	*jiǔ
減	gæ̌m
渝	io
渠	ghio
渡	*dhò
渦	guɑ
測	chriək
渭	*hiuə̀i
渴	kɑt
游	*iou
渺	*miɛ̌u
渼	myǐ
渾	huən huə̌n
湊	tsòu
湍	tuɑn
湓	bhən
湖	*ho
湘	*siɑng
湛	djhæ̌m
湟	huɑng
湧	*iǒng
湫	tsiou
湯	tɑng
湲	hyɛn
源	*ngiuæn
準	juǐn
溜	liòu
溝	gou
溟	meng
溢	qit
溧	lit
溪	*kei
溫	quən
溶	iong
溺	nek
溼	*ship
滂	pɑng
滄	*tsɑng
滅	*miɛt
滋	*tziə
滌	dhek
滓	tziə̌
滔	tɑu
滯	*djhiɛ̀i
滴	*dek
滾	guən
滿	*mɑ̌n
漁	*ngiu
漂	piɛu
漆	tsit
漏	*lòu
漓	liɛ
演	iɛ̌n
漕	dzhɑ̀u
漠	*mɑk
漢	*xɑ̀n
漣	liɛn
漪	qyE
漫	*mɑn *mɑ̀n
漱	shriòu sòu
漲	dzhiɑ̀ng
漳	djiɑng
漵	ziǔ
漸	*dzhiɛ̌m
漾	*iɑ̌ng iɑ̀ng
漿	*tziɑng
潁	iuɛ̌ng
潏	guet
潔	get
潘	pɑn
潛	*dzhiɛm
潢	huɑng
潤	njuìn
潦	lɑ̀u
潭	*dhom
潮	*djhiɛu
潯	zim
潸	shran shrǎn
潺	jrhɛn
潼	*dhung
潾	lin
澀	shrip
澄	*djhiəng djhiæng
澆	keu
澌	siɛ
澒	hǔng
澗	*gɑ̀n
澤	*djhæk
澦	iò
澧	lěi
澹	*dhɑ̀m *dhɑ̌m
激	*gek
濁	djhak
濃	*niong
濕	*ship
濛	mung
濟	tzèi
濠	hɑu
濡	njio
濤	*dhɑu
濩	huɑk
濯	*djhak
濱	*bin
濺	tziɛ̀n
瀁	*iɑ̌ng iɑ̀ng
瀉	siǎ
瀍	djhiɛn
瀑	bhuk
瀚	hɑ̀n
瀛	iɛng
瀟	*seu
瀦	djiu
瀧	shrang
瀨	lɑ̀i
瀰	miɛ miɛ̌
瀼	njiɑng
瀾	*lɑn lɑ̀n
灃	piung
灌	guɑ̀n
灑	*shrǎ shri shriɛ̀ shriɛ̌ shrɛ̌i
灘	*tɑn
灞	bà
灣	quan
灩	iɛ̀m
火	*xuɑ̌
灰	*xuəi
灼	jiɑk
災	tzəi
炊	*chiuɛ
炎	*hyɛm
炙	jiɛk
炬	*ghiǔ
炭	tɑ̀n
炳	biæ̌ng
烈	*liɛt
烏	*qo
烜	xiuæ̌n
烝	jiəng
烟	qen
烹	pæng
烽	*piong
焉	*qyɛn hyɛn
焚	bhiən
無	*mio
焦	tziɛu
然	*njiɛn
煌	huɑng
煎	tziɛn
煖	*nuɑ̌n
煙	qen
煥	xuɑ̀n
照	*jiɛ̀u
煩	*bhiæn
煬	iɑ̀ng
煮	jiǔ
熊	*hiung
熏	*xiuən
熒	hueng
熙	xiə
熟	*zhiuk
熱	*njiɛt
熳	mɑ̀n
燀	chiɛ̌n jiɛ̌n
燃	njiɛn
燄	iɛ̌m
燈	*dəng
燎	liɛ̀u liɛ̌u
燒	*shiɛu
燕	*qen *qèn
營	*iuɛng iuɛng
燠	qiuk
燥	sɑ̌u
燧	zuì
燭	*jiok
燼	zìn
燾	dhɑ̀u
爍	shiɑk
爐	*lo
爛	*lɑ̀n lɑ̀n
爪	jrǎu
爭	*jrɛng
爰	hiuæn
爲	*hyuɛ *hyuɛ̀
父	*bhiǒ
爺	ia
爽	shriɑ̌ng
爾	*njiɛ̌ njiɛ̌
牀	*jrhiɑng
牆	*dzhiɑng
片	*pèn
版	bǎn
牋	tzen
牓	bɑ̌ng
牕	*chrang
牖	iǒu
牙	*nga
牛	*ngiou
牢	lɑu
牧	*miuk
物	*miət
牲	shræng
特	dhək
牽	*ken kèn
犀	sei
犂	lei
犒	kɑ̀u
犖	lak
犧	xyɛ
犭	*kuěn
犯	bhiæ̌m
狀	jrhiɑ̀ng
狂	*ghiuɑng
狐	*ho
狒	bhiə̀i
狖	iòu
狗	gǒu
狙	tsiu
狡	gǎu
狩	shiòu
狸	liə
狹	hæp
狻	suɑn
狼	*lɑng
狽	bɑ̀i
猊	ngei
猗	gyɛ
猛	*mæ̌ng
猜	tsəi
猥	quə̌i
猨	*hiuæn
猩	*shræng
猰	qat
猱	nɑu
猴	hou
猶	*iou
猷	iou
猿	*hiuæn
獅	shri
獨	*dhuk
獲	huɛk
獵	*liɛp
獸	*shiòu
獻	*xiæ̀n
獼	miɛ
玄	*huen
率	luì shruit
玉	*ngiok
王	*hiuɑng hiuɑ̀ng
玦	guet
玩	nguɑ̀n
玲	*leng
玳	dhə̀i
珀	pæk
珂	kɑ
珉	myin
珊	sɑn
珍	*djin
珓	gàu
珠	*jio
珪	guei
班	ban
珮	*bhə̀i
琅	lɑng
理	*liə̌
琉	liou
琥	xǒ
琬	qiuæ̌n
琰	iɛ̌m
琳	lim
琴	*ghyim
琵	*bhi
琶	*bha
瑁	mɑ̀u mə̀i
瑕	ha
瑙	nɑ̌u
瑚	ho
瑟	*shrit
瑣	*suɑ̌
瑩	hiuæng qèng
瑪	mǎ
瑶	iɛu
璃	liɛ
璅	tzɑ̌u
璣	giəi
璧	biɛk
璫	dɑng
環	*huan
璽	siɛ̌
瓊	ghiuɛng
瓌	guəi
瓏	*lung
瓜	*gua
瓢	*bhiɛu
瓦	nguǎ
甁	bheng
甄	gyɛn
甑	tziə̀ng
甕	qùng
甖	qɛng
甘	*gɑm
甚	*zhǐm zhìm
生	*shræng
產	shrɛ̌n
用	*iòng
甫	biǒ
田	*dhen
由	*iou
甲	*gap
申	shin
男	*nom
畋	dhen dhèn
界	gæ̀i
畏	*qiuə̀i
畔	*bhɑ̀n
留	*liou
畝	mǒu
畢	*bit
畤	djhiə̌ jiə̌
畦	huei
畧	liɑk
畫	*huɛ̀i huɛk
畬	shia
異	*iə̀
當	*dɑng dɑ̀ng
畿	ghiəi
疆	giɑng
疊	*dhep
疎	*shriu
疏	*shriu shriù
疑	*ngiə
疲	bhyɛ
疴	qɑ
疵	dzhiɛ
疹	jǐn
疾	*dzhit
病	*bhiæ̀ng
痊	tsiuɛn
痍	i
痕	*hən
痛	*tùng
瘡	chriɑng
瘦	*shriòu
瘴	chriɑng
癃	liung
癘	liɛ̀i
癡	tjiə
登	*dəng
發	*biæt
白	*bhæk
百	*bæk
的	dek
皆	*gæi
皇	*huɑng
皋	gɑu
皎	*gěu
皓	hɑ̌u
皤	bhɑ
皮	bhyɛ
皴	tsuin
皺	jriòu
盃	*bəi
盈	*iɛng
盌	quɑ̌n
盍	hɑp
盎	qɑ̀ng qɑ̌ng
盛	*zhiɛ̀ng
盜	*dhɑ̀u
盡	*dzhǐn
監	gam gàm
盤	*bhɑn bhɑn
盧	*lo
盪	dhɑ̌ng
目	*miuk
盱	xio
盳	mæng
直	*djhiək *djhiə̀
相	*siɑng *siɑ̀ng
盼	pɛ̀n
省	*shræ̌ng siɛ̌ng
眄	mèn měn
眇	miɛ̌u
眉	*myi
眊	mɑ̀u
看	*kɑn kɑ̀n
真	*jin
眠	*men
眥	dzhiɛ̌
眩	huèn
眷	gyuɛ̀n
眸	miou
眺	tèu
眼	*ngɛ̌n
着	*djiɑk djiɑk
睇	dhèi
睒	shiɛ̌m
睗	shiɛk
睛	tziɛng
睡	zhuiɛ̀
睢	xiuɛ xyui
睿	iuɛ̀i
瞋	chin
瞥	piɛt
瞭	leu lěu
瞳	dhung
瞻	jiɛm
瞿	ghio
矚	jiok
矛	miou
矜	giəng
矢	shǐ
矣	*hiə̌
知	*djiɛ
矩	giǔ
短	*duɑ̌n
矯	gyɛ̌u
矰	tzəng
石	*zhiɛk
砂	*shra
砌	tsèi
砍	kǒm
砧	*djim
砯	pɛng
砰	pɛng
破	*pɑ̀
硉	luət
硠	lɑng
硤	*hæp
硬	ngɛ̀ng
确	hak
硯	ngèn
碁	ghiə
碎	*suə̀i
碑	*byɛ
碓	duə̀i
碣	ghiæt ghiɛt
碧	*biɛk
磊	luəi
磋	tsɑ
磐	bhɑn
磓	duəi
磔	djæk
磕	kɑp
磧	tsiɛk
磨	*mɑ
磬	kèng
磯	giəi
磴	də̀ng
磵	*gàn
礙	ngə̀i
礪	liɛ̀i
示	jhì
社	zhiǎ
祀	ziə̌
祁	ghyi
祇	*jiɛ̌ ghiɛ
祈	ghiəi
祖	*tzǒ
祗	*jiɛ̌
祚	dzhò
祛	kiu
祝	jiuk
神	*jhin
祠	*ziə
祥	ziɑng
祧	teu
祭	*tziɛ̀i
祲	tzìm
祿	luk
禁	*gyìm
禍	huɑ̌
福	biuk
禦	ngiǔ
禨	giəi
禪	*zhiɛn zhiɛ̀n
禮	*lěi
禰	něi
禱	dɑ̀u dɑ̌u
禹	*hiǒ
禽	*ghyim
禾	huɑ
秀	*siòu
私	*si
秃	tuk
秉	biæ̌ng
秌	*tsiou
科	kuɑ
租	tzo
秣	mɑt
秦	*dzhin
秩	djhit
移	*iɛ
稀	*xiəi
稉	gæng
程	djhiɛng
稍	*shràu
税	shiuɛ̀i
稚	*djhì
稜	ləng
稟	byǐm
稠	djhiou
種	*jiòng jiǒng
稱	*chiəng chiə̀ng
稷	tziək
稻	dhɑ̀u
稽	gei kěi
穆	miuk
積	*tziɛk
穎	iuɛ̌ng
穩	quə̌n
穰	njiɑng njiɑ̌ng
穴	*huet
穹	kiung
空	*kung kùng
穿	*chiuɛn tjæng tjæ̀ng
突	*tuət
窄	*jræk
窅	*qěu
窈	*qěu
窕	dhěu
窗	*chrang
窟	*kuət
窠	kuɑ
窣	suət
窮	*ghiung
窶	ghiǒ
窸	sit
窺	*kiuɛ
竄	*tsuɑ̀n
竇	dhòu
竈	tzɑ̀u
竊	*tset
立	*lip
竟	*giæ̀ng
章	*jiɑng
童	*dhung
竭	ghyɛt
端	*duɑn
競	*ghiæ̀ng
竹	*djiuk
竽	hio
竿	*gɑn
笏	xuət
笑	*siɛ̀u
笙	*shræng
笛	*dhek
笞	djhiɛ
笠	lip
符	bhio
第	*dhèi
笱	gǒu
笳	*ga
筆	*byit
等	*də̌ng
筋	giən
筌	tsiuɛn
筍	suǐn
筐	kiuɑng
筒	dhung
答	*dop
策	*chrɛk
筠	hyun
筯	djhiù
筲	shrau
筵	*iɛn
箄	biɛ
箆	bei
箇	gɑ̀
箋	tzen
箏	*jrɛng
箔	bhɑk
箜	kung
管	*guɑ̌n
箭	*tziɛ̀n
箱	siɑng
箸	djhiù
節	*tzet
篁	huɑng
篇	*piɛn
築	djiuk
篋	kep
篌	hou
篚	biəi
篪	djhiɛ
篲	ziuɛ̀i
簇	tsuk
簞	dɑn
簟	*dhěm
簡	gɛ̌n
簪	*jrim
簫	*seu
簴	ghiǒ
簷	*iɛm
簾	*liɛm
籌	djhiou
籍	dzhiɛk
籙	liok
籞	ngiǔ
籟	lɑ̀i
籠	*lung lǔng
籬	*liɛ
米	měi
粉	*biə̌n
粒	lip
粗	dzhǒ tso
粟	siok
粧	*jriɑng
粱	liɑng
粲	tsɑ̀n
粹	suì
精	*tziɛng
糒	bhyì
糗	kiǒu
糜	myɛ
糞	biə̀n
糟	tzɑu
糧	liɑng
糲	liɛ̀i
糴	dhek
糾	giə̌u
紀	giə̌
約	qiɑk
紅	*hung
紆	qio
紇	huət
紈	huɑn
紋	miən
納	*nop
紗	*shra
紙	jiɛ̌
紛	*piən
素	*sò
索	shræk shrɛk sɑk
紫	*tziɛ̌
累	liuɛ̀ liuɛ̌
細	*sèi
紹	zhiɛ̌u
終	*jiung
絃	*hen
組	tzǒ
絆	bɑ̀n
結	*get
絕	*dzhiuɛt
絛	tɑu
絡	lɑk
給	gyip
絮	*siù
統	tòng
絲	*siə
絳	gàng
絹	giuɛ̀n
絺	djhi
綃	siɛu
綌	kiæk
經	*geng
綠	*liok
綢	djhiou
綬	zhiǒu
維	ui
綱	gɑng
網	miɑ̌ng
綴	djiuɛ̀i
綵	*tsə̌i
綸	*luin
綺	*kyɛ̌
綻	djhɛ̀n
綽	chiɑk
綿	*miɛn
緋	biəi
緒	ziǔ
緗	siɑng
緘	gæm
線	siɛ̀n
緜	*miɛn
緡	myin
緣	*iuɛn
編	ben
緩	huɑ̌n
緪	gə̀ng
緫	*tzǔng
緬	miɛ̌n
緯	hiuə̀i
緱	gou
緲	*miɛ̌u
練	lèn
縈	qiuɛng
縛	*bhiɑk
縞	gɑ̀u gɑ̌u
縣	*huèn
縫	bhiong
縭	liɛ
縮	shriuk
縱	tziong tziòng
縷	liǒ
縹	piɛ̌u
縻	myɛ
總	*tzǔng
繁	*bhiæn
繆	miəu
繐	huèi siuɛ̀i
織	*jiək
繕	zhiɛ̀n
繞	*njiɛ̌u njiɛ̀u
繡	*siòu
繩	jhiəng
繫	*gèi
繭	gěn
繳	jiɑk
繹	iɛk
繼	*gèi
纆	mək
纈	het
纊	kuɑ̀ng
續	ziok
纏	*dhjiɛn
纓	*qiɛng
纔	*dzhəi
纖	*siɛm
纛	dhok dhɑ̀u
纜	*lɑ̀m
缺	*kuet
罇	*tzuən
罍	luəi
罏	*lo
罘	bhiou
罛	go
罝	tzia
罟	gǒ
罥	guěn
罪	dzhuə̌i
置	*djiə̀
罰	*bhɛ̌i bhiæt
署	zhiǔ
罳	siə
罷	bhyɛ *bhɛ̌i
罹	liɛ
罾	tzəng
羅	*la
羆	*byɛ
羇	*gyɛ
羈	*gyɛ
羊	iɑng
羌	*kiɑng
美	*myǐ
羞	*siou
群	*ghiuɛn
羨	ziɛ̀n
義	ngyɛ̀
羯	giæt
羲	*xyɛ
羶	shiɛn
羸	liuɛ
羹	gæng
羽	*hiǒ
羿	ngèi
翁	qung
翅	*shiə̌
翊	iək
翎	leng
習	zip
翔	*ziɑng
翠	*tsuì
翡	*bhiə̀i
翥	jiù
翦	*tziɛ̌n
翩	*piɛn
翫	nguɑ̀n
翬	xiuəi
翮	hɛk
翰	hɑ̀n
翳	qèi
翹	ghiɛu
翺	ngɑu
翻	*piæn
翼	*iək
翾	xiuɛn
耀	iɛ̀u
老	*lɑ̌u
考	kɑ̌u
耄	mɑ̀u
者	*jiǎ
耋	dhet
而	*njiə
耐	nə̀i
耕	*gɛng
耗	xɑ̀u
耨	nòu
耰	qiou
耳	*njiə̌
耶	ia
耽	dom
耿	*gɛ̌ng
聆	leng
聊	leu
聒	guɑt
聖	*shiɛ̀ng
聚	dzhiò
聞	*miən
聯	*liɛn
聰	tsung
聲	*shiɛng
聳	siǒng
職	jiək
聽	*teng tèng
聾	lung
肅	*siuk
肆	sì
肉	*njiuk
肌	gyi
肖	siɛ̀u
肘	djiǒu
肝	*gɑn
股	gǒ
肢	jiɛ
肥	*bhiəi
肩	gen
肯	*kə̌ng
育	iuk
肺	piæ̀i
背	*bə̀i
胝	dji
胡	*ho
胥	siu
胸	xiong
能	*nəng
脂	*ji
脅	xiæp
脆	tsiuɛ̀i
脈	mɛk
脚	giɑk
脛	hèng hěng
脣	jhuin
脩	*siou
脯	biǒ
脱	*tuɑt
脾	bhiɛ
腐	*bhiǒ
腓	bhiəi
腕	quɑ̀n
腥	seng
腦	nɑ̌u
腮	səi
腰	*qiɛu
腳	giɑk
腴	io
腸	*djhiɑng
腹	*biuk
膏	gɑu gɑ̀u
膚	*bio
膝	sit
膠	gau
膩	nì
膳	zhiɛ̀n
膺	qiəng
膽	dɑ̌m
膾	guɑ̀i
臂	biɛ̀
臆	qiək
臉	læ̌m
臊	sɑu
臍	dzhei
臘	lɑp
臣	*zhin
臥	nguɑ̀
臨	*lim
自	*dzhì
臬	nget
臭	chiòu
至	*jì
致	*djì
臺	*dhəi
臻	jrin
臼	ghiǒu
臾	io
舂	shiong
舄	siɛk
舅	ghiǒu
與	*iǔ iu
興	*xièng *xiəng
舉	*giǔ
舊	*ghiòu
舍	*shià
舒	*shiu
舔	tèm
舕	tɑ̀m
舛	shuìn
舞	*miǒ
舟	*jiou
舠	*dɑu
航	hɑng
舫	biɑ̀ng
舲	leng
舳	djhiuk
舷	hen
舸	gɑ̌
船	*jhiuɛn
艘	seu sɑu
艫	lo
良	liɑng
艱	*gɛn
色	*shriək
芊	tsen
芋	hiò
芒	mɑng
芙	*bhio
芟	shram
芬	piən
芭	ba
芮	njiuɛ̀i
芰	ghyiɛ̀
花	*xua
芳	*piɑng
芼	mɑ̀u
芽	nga
苑	*qiuæ̌n
苒	njiɛ̌m
苔	*dhəi
苗	myɛu
苛	hɑ
苜	miuk
苞	bau
若	*njiɑk
苦	*kǒ
英	*qiæng
苶	nep net njiɛt
苻	bhio
茂	*mòu
范	bhiæ̌m
茅	*mau
茍	gǒu
茨	dzhi
茫	*mɑng
茱	zhio
茲	*tziə dzhiə
茵	qin
茶	djha
茸	njiong
荇	hæ̌ng
草	*tsɑ̌u
荊	*giæng
荏	njǐm
荑	dhei
荒	*xuɑng
荔	lèi liɛ̀
荷	hɑ hɑ̌
荻	dhek
莊	jriɑng
莎	suɑ
莓	məi
莖	*hɛng
莞	guɑn huɑn
莫	*mɑk
莽	*mɑ̌ng
菁	tziɛng
菉	liok
菊	*giuk
菑	jriə
菜	tsèi
菟	dho
菡	hǒm
菢	bhɑ̀u
華	*hua huà
菰	go
菱	*liəng
菲	piəi piə̌i
菼	tɑ̌m
萄	dhɑu
萊	*ləi
萋	*tsei
萍	bheng
萎	qyuɛ
萏	dhǒm
萬	*miæ̀n
萸	io
萼	ngɑk
落	*lɑk
葅	jriu
葉	*iɛp
葑	biong
著	*djiù *djiɑk djhiɑk
葛	gɑt
葡	bho
董	dǔng
葦	hiuə̌i
葬	*tzɑ̀ng
葭	ga
葱	tsung
葳	qiuəi
葵	ghui
葹	shiɛ
蒐	shriou
蒙	*mung
蒨	tsèn
蒲	*bho
蒸	jiəng jiɛng
蒹	gem
蒼	*tsɑng
蒿	*hɑu
蓄	xiuk
蓉	*iong
蓋	*gɑ̀i
蓑	suɑ
蓬	*bhung
蓮	*len
蓽	bit
蓿	siuk
蔓	*miæ̀n
蔕	dèi
蔗	jià
蔚	qiuət
蔡	*tsɑ̀i
蔬	shriu
蔭	qyìm
蔻	xòu
蔽	biɛ̀i
蕃	biæn
蕉	tziɛu
蕊	njuǐ
蕙	huei
蕤	njui
蕨	kiuæt
蕩	*dhɑ̌ng dhɑng tɑng
蕪	*mio
蕭	*seu
薄	*bhɑk
薇	miəi
薊	gèi
薋	dzhi
薔	dzhiɑng
薜	bhèi
薤	hæ̀i
薦	*tzèn
薪	sin
薰	*xiuən
薺	dzhi
薿	ngiə̌
藁	gɑ̌u
藉	dzhià
藍	lɑm
藎	zìn
藏	*dzhɑng dzhɑng
藜	lei
藝	ngiɛ̀i
藤	*dhəng
藥	*iɑk
藩	bhiæn
藹	qɑ̀i
藻	tzɑ̌u
藿	xuɑk
蘂	njiuɛ̌
蘄	ghiə
蘆	*lo
蘇	*so
蘋	*bhin
蘚	siɛ̌n
蘭	*lɑn
蘿	*lɑ
虎	*xǒ
虐	ngiɑk
虔	ghyɛn
處	*chiù *chiǔ
虛	*xiu
虞	*ngio
號	*hɑu hɑ̀u
虢	guæk
虧	kyuɛ
虬	kiəu
虯	kiəu
虹	gàng gùng hung
蚍	bhi
蚤	tzɑ̌u
蚩	chiə
蛄	go
蛇	*jhia tɑ
蛙	qua
蛟	*gau
蛩	ghiong
蛺	gep
蛾	*ngɑ
蜀	*zhiok
蜂	biong
蜃	zhin
蜉	bhiou
蜍	zhiu
蜒	dhěn
蜩	dheu
蜻	tseng
蝌	kuɑ
蝕	*jhiək
蝘	qěn
蝙	ben
蝟	hiuə̀i
蝠	biuk
蝥	mau
蝦	ha
蝨	shrit
蝮	piuk
蝴	ho
蝶	*tep dhep
螎	*iung
螘	*ngyɛ̌
螢	*hueng
螭	tjiɛ
螻	lou
螽	jiung
螿	tziɑng
蟄	djhip
蟆	*ma
蟠	bhɑn
蟢	xiə̌
蟣	giə̌i
蟪	huek
蟬	*zhiɛn
蟲	*djhiung
蟻	*ngyɛ̌
蟾	zhiɛm
蠅	iəng
蠆	tjài
蠟	*lɑp
蠡	lěi
蠢	chuǐn
蠲	guen
蠶	*dzhom
蠻	*man
血	*xuet
衆	*jiùng
行	*hæng *hɑng
衍	iɛ̀n
術	jhuit
街	gæi gɛi
衛	*hiuɛ̀i
衝	chiong
衞	*hiuɛ̀i
衡	*hæng
衢	*ghio
衣	*qiəi qièi
表	*biɛ̌i
衫	shram
衮	guə̌n
衰	*shrui chriuɛ
衱	ghyɛp giæp
衷	djiong
衾	*kyim
衿	*gyim
袁	hiuæn
袂	miɛ̀i
袍	*bhɑu
袖	*ziòu
袞	guə̌n
被	*bhyɛ̌
袴	kò
袷	gæp
裁	*dzhəi
裂	*liɛt
裊	*něu
裋	zhiǒ
裏	*liə̌
裘	*ghiou
裙	ghiuən
裛	qip
補	*bǒ
裝	jriɑng
裨	bhiɛ
裯	djhiou
裳	*zhiɑng
裹	guɑ̌
裾	giu
複	*bhiòu
褊	biɛ̌n
褐	hɑt
褒	bɑu
褥	njiok
褭	něu
褰	kyɛn
褷	shriɛ
襄	*siɑng
襟	*gyim
襦	njio
襪	miæt
襯	tsìn
襲	zip
西	*sei
要	*qiɛ̀u
覆	*piòu bhiuk
見	*gèn
規	giuɛ
覓	*mek
視	*zhǐ zhì
覩	dǒ
親	*tsin
覬	gyì
覺	*gak
覽	lɑ̌m
覿	dhek
觀	*guɑn guɑ̀n
角	*gak
觜	tziuɛ̌
解	*gɛ̌i
觰	dja
觱	bit hiuət
觴	*shiɑng
觸	chiok
觿	huei xiuɛ
言	*ngiæn
訇	xuɛng
計	*gèi
訊	sìn
討	tɑ̌u
訓	xiuə̀n
訖	kiət
託	*tɑk
記	giə̀
訛	nguɑ
訝	ngà
訟	ziòng
訣	guet
訪	*piɑ̀ng
設	shiɛt
許	*xiǔ
訴	sò
訾	tziɛ
詎	*ghiǔ
詔	*jiɛ̀u
詞	*ziə
詠	*hiuæ̀ng
詣	ngèi
試	*shiə̀
詩	*shiə
詮	tsiuɛn
話	huài
詼	kuə̀i
誅	djio
誇	*kuɑ
認	njìn
誑	giuɑ̀ng
誓	*shiɛ̀i
誕	dhɑ̌n
誚	dzhiɛ̀u
語	*ngiǔ ngiù
誠	*zhiɛng
誣	mio
誤	*ngò
誥	*gɑ̀u
誦	ziòng
説	*shiuɛt shiuɛ̀i
誰	*zhui
誼	ngyɛ̀
調	*dhèu dheu
談	dhɑm
請	*tsiɛ̌ng
諍	jrɛ̀ng
諒	liɑ̀ng
論	*luən luin luə̀n
諧	hæi
諫	gàn
諳	qom
諷	biùng
諸	*jiu
謀	*miou
謁	qiæt
謂	*hiuə̀i
謔	xiɑk
謗	bɑ̀ng
謙	kem
講	gǎng
謝	*zià
謠	iɛu
謨	mò
謫	*djɛk
謳	qou
謾	màn
譁	xua
譏	giəi
識	*shiək
