㔩	qop
力	*liək
功	*gung
加	ga
劣	liuɛt
助	jrhiù
努	nǒ
劫	kiæp
劾	hək
勁	giɛ̀ng
勃	bhət
勅	tjiək
勇	*iǒng
勉	myɛ̌n
勒	lək
動	*dhǔng
務	miò
勝	*shiə̀ng
勞	*lɑu lɑ̀u
募	mò
勢	*shiɛ̀i
勤	*ghiən
勳	*xiuən
勸	*kiuæ̀n
勿	*miət
匀	uin
包	bau
匆	tsung
匈	xiong
化	*xuɑ̀
北	*bək
匙	zhiɛ
匠	dzhiɑ̀ng
匡	*kiuɑng
匣	hap
匪	piə̌i
匯	huə̌i
匹	*pit
匿	niək
區	gou kio
十	*zhip
千	*tsen
升	*shiəng
午	ngǒ
卉	xiuə̀i xiuə̌i
半	bɑ̀n
卑	biɛ
卒	*tzuət tsuət tzuit
卓	djak
協	hep
南	*nom
博	*bɑk bɑk
卜	*buk
占	jiɛm
印	qìn
危	*ngyuɛ
却	*kiɑk
卷	*gyuɛ̌n gyuɛ̀n
卹	suit
卻	*kiɑk
卽	*tziək
卿	*kiæng
厚	hòu hǒu
原	*ngiuæn
厥	giuæt
厭	*qiɛ̀m
厲	*liɛ̀i
去	*kiù
参	*chrim shrim tsom
又	*hiòu
及	*ghyip
友	hiǒu
反	*biæ̌n
取	*tsiǒ
受	*zhiǒu
叟	*sǒu
叢	*dzhung
口	*kǒu
古	*gǒ
句	*giò
叩	kǒu
只	*jǐɛ
叫	gèu
召	djhiɛ̀u
可	*kɑ̌
台	*təi
叱	chit
史	*shriə̌
右	*hiòu
司	*siə
吁	xio
各	*gɑk
合	*hop
吉	git
同	*dhung
名	*miæng
吏	*liə̀
吐	*tǒ
向	*xiɑ̀ng
君	*giuən
吞	*tən
吟	*ngyim
吠	bhiæ̀i
否	biǒu
含	*hom
吮	jhuǐn
吳	*ngo
吴	*ngo
吸	xyip
吹	*chiuɛ chiuɛ̀
吻	miə̌n
吼	xòu xǒu
吾	*ngo
呀	nga xa
呂	*liǔ
告	*gɑ̀u
呎	*jiɛ̌
呦	giəu
周	*jiou
味	*miə̀i
呵	xɑ
呻	shin
呼	*xo
命	*miæ̀ng
咄	duɑt duət
咆	bhɑu
和	*huɑ huɑ̀
咍	xəi
咎	ghiǒu
咏	hiuæ̀ng
咤	djà
咨	tzi
咬	gǎu
咷	dhɑu
咸	*hæm
咽	*qet
哀	*qəi
品	pǐm
員	hyuɛn
哥	gɑ
哦	ngɑ
哭	*kuk
哲	djiɛt
哳	djɛt
哺	bhò
唇	jhuin
唏	*xiə̌i xiə̀i
唐	dhɑng
唯	*ui
唱	*chiɑ̀ng
唳	lèi
啄	*duk djak
商	*shiɑng
問	*miə̀n
啖	dhɑ̌m
啜	chiuɛt
啞	qà
啼	*dhei
啾	*tziou
