㗑	10656.060:bai
㗒	10658.120:ài
㗓	10668.160:zhuī
㗔	10667.050:qiān
㗕	10664.080:gòu,gōu
㗗	10671.190:bēi
㗘	10666.020:bó
㗙	10669.160:chū,nà,zhōu
㗚	10666.050:lì
㗢	10677.070:hóng,dòng,hòng
㗤	10675.040:cù
㗥	10670.010:kuò,guō
㗦	10673.050:láo
㗧	10679.050:zhì,dié
㗨	10675.020:xiē,ǎi
㗩	10679.130:xī
㗫	10678.040:qiè
㗬	10566.030:zhā
㗭	10677.160:xī
㗰	10677.120:cóng
㗱	10684.090:jí
㗲	10687.040:huò
㗳	10684.060:tǎ,dā
㗴	10687.060:yán
㗵	10686.090:xù
㗶	10687.150:pō
㗻	10691.080:guō
㗼	10690.050:yè
㗽	10687.170:xiǎng
㗾	10688.070:xuē
㗿	10695.010:hé,xià,xiā
㘀	10692.100:zuò
㘁	10691.120:yì
㘂	10694.060:cí
㘆	10695.080:tǎi
㘇	10697.090:róng
㘈	10696.230:yì,nǐ
㘉	10692.070:zhì
㘊	10699.120:xī,yì
㘋	10699.060:xián
㘌	10699.150:jù
㘍	10699.160:jí
㘐	10701.090:pào
㘑	10701.100:lì
㘓	10705.070:lán
㘔	10705.040:sǎi
㘕	10705.140:hǎn,lán
㘖	10707.010:yán
㘗	10706.060:qū
㘙	10709.010:yán
㘚	10708.100:hǎn
㘛	10709.200:kān
㘝	10711.040:niè
㘞	10711.030:huò
㘠	10717.140:bì
㘢	10718.040:wěng
㘣	10719.060:xuán,yuán
㘤	10726.140:wān
㘦	10417.130:qín
㘧	10429.050:xù
㘨	10422.180:niè
㘩	10422.070:bì
㘪	10423.040:hào
㘫	10421.050:jǐng
㘬	10426.060:ào,wù
㘰	10427.030:zhēn
㘵	10430.040:bù
㘸	10438.060:zàng,zuò
㘿	10443.180:niè
㙀	10447.040:liù,jiù
㙁	10445.080:méi,mù
㙂	10445.160:duì,wèng
㙃	10445.090:bāng
㙄	10443.110:bì
㙇	10452.040:chù
㙈	10452.120:xià
