七	0893.050:qī 0897.070:qí
万	0802.110:mò 1185.040:wàn
丈	1457.020:zhàng
三	0982.010:sān
上	1002.050:shǎng 1002.100:shàng
下	1239.090:xià
不	0085.150:bú 0087.100:bù
与	1407.050:yú 1413.010:yǔ 1415.110:yù
丏	0785.020:miǎn
丐	0352.020:gài
丑	0153.090:chǒu
专	1517.020:zhuān
且	0609.090:jū 0923.080:qiě
丕	0865.010:pī
世	1050.060:shì
丘	0939.070:qiū
丙	0078.020:bǐng
业	1348.070:yè
丛	0179.010:cóng
东	0257.020:dōng
丝	1086.020:sī
丞	0140.010:chéng
丟	0256.091:diū
丢	0256.090:diū
两	0707.060:liǎng
严	1326.010:yán
並	0079.012:bìng
丧	0987.010:sāng 0987.070:sàng
个	0373.090:gè 0373.120:gě
丫	1317.010:yā
中	1494.100:zhōng 1501.040:zhòng
丰	0324.080:fēng
丱	0411.050:guàn
串	0166.030:chuàn
临	0717.030:lín
丸	1183.040:wán
丹	0210.010:dān
为	1192.070:wéi 1199.040:wèi
主	1510.020:zhǔ
丽	0691.110:lí 0697.030:lì
举	0612.050:jǔ
乂	1369.120:yì
乃	0814.030:nǎi
久	0606.040:jiǔ
乇	1172.030:tuō
么	0758.081,0758.091:ma 0770.150:me 1340.041:yāo
义	1369.130:yì
之	1478.080:zhī
乌	1211.030:wū 1225.010:wù
乍	1448.200:zhà
乎	0470.080:hū
乏	0295.030:fá
乐	0683.040:lè 1430.060:yuè
乒	0878.060:pīng
乓	0853.120:pāng
乔	0920.130:qiáo
乖	0405.010:guāi
乘	0139.010:chéng 1030.020:shèng
乙	1364.090:yǐ
乜	0789.030:miē 0835.080:niè
九	0606.020:jiǔ
乞	0899.060:qǐ
也	1347.010:yě
习	1233.030:xí
乡	1257.010:xiāng
书	1064.070:shū
乩	0520.100:jī
买	0759.020:mǎi
乱	0744.120:luàn
乳	0973.070:rǔ
乸	0812.010:nǎ
乾	0352.091:gān 0913.050:qián
亂	0744.121:luàn
了	0684.060:le 0711.150:liǎo 0712.070:liào
予	1411.010:yú 1413.140:yǔ
争	1472.030:zhēng
事	1051.040:shì
二	0288.070:èr
亍	0161.060:chù
于	1406.080:yú
亏	0661.120:kuī
云	1431.040:yún
互	0477.110:hù
亓	0895.050:qí
五	1220.070:wǔ
井	0600.010:jǐng
亘	0377.030:gèn
亙	0377.031:gèn
亚	1321.020:yà
些	1273.040:xiē
亞	1321.021:yà
亟	0530.020:jí 0906.060:qì
亡	1187.010:wáng
亢	0634.070:kàng
交	0563.010:jiāo
亥	0437.010:hài
亦	1368.020:yì
产	0118.100:chǎn
亨	0458.060:hēng
亩	0805.040:mǔ
享	1258.050:xiǎng
京	0594.070:jīng
亭	1146.040:tíng
亮	0709.110:liàng
亱	1347.021:yè
亲	0925.030:qīn 0936.070:qìng
亳	0082.040:bó
亵	1276.050:xiè
亶	0210.060:dǎn 0212.110:dàn
亷	0701.021:lián
亸	0281.010:duǒ
亹	0776.030:mén 1196.050:wěi
人	0959.010:rén
亾	1187.011:wáng
亿	1371.170:yì
什	1021.010:shén 1038.020:shí
仁	0963.010:rén
仂	0684.010:lè
仃	0253.050:dīng
仄	1445.030:zè
仅	0589.020:jǐn 0592.070:jìn
仆	0888.020:pū 0890.020:pú
仇	0153.020:chóu 0941.100:qiú
仉	1456.040:zhǎng
今	0585.050:jīn
介	0582.070:jiè
仍	0966.020:réng
从	0177.100:cōng 0178.090:cóng
仑	0745.070:lún
仓	0104.110:cāng
仔	1437.041:zǎi 1530.080:zī 1533.030:zǐ
仕	1050.010:shì
他	1106.010:tā
仗	1457.040:zhàng
付	0346.020:fù
仙	1243.070:xiān
仛	1173.012:tuō
仝	1154.070:tóng
仞	0965.060:rèn
仟	0910.050:qiān
仡	0370.030:gē 1371.040:yì
代	0205.040:dài
令	0719.070:líng 0722.040:lǐng 0723.030:lìng
以	1365.020:yǐ
仨	0980.030:sā
仪	1362.010:yí
仫	0810.060:mù
们	0777.030:men
仰	1338.020:yǎng
仲	1502.010:zhòng
仳	0870.030:pǐ
仵	1223.040:wǔ
件	0557.040:jiàn
价	0545.010:jià 0583.070:jiè 0584.050:jie
任	0964.020:rén 0965.100:rèn
份	0324.070:fèn
仿	0309.050:fǎng
伀	1494.091:zhōng
企	0899.040:qǐ
伃	1411.020:yú
伈	1284.090:xǐn
伉	0635.030:kàng
伊	1359.120:yī
伋	0528.030:jí
伍	1222.010:wǔ
伎	0533.070:jì
伏	0337.070:fú
伐	0295.040:fá
休	1296.020:xiū
伕	0334.050:fū
众	1502.020:zhòng
优	1394.010:yōu
伙	0514.020:huǒ
会	0505.010:huì 0656.100:kuài
伛	1413.050:yǔ
伞	0986.030:sǎn
伟	1197.050:wěi
传	0163.030:chuán 1520.030:zhuàn
伡	0130.030:chē
伢	1320.050:yá
伤	1001.030:shāng
伥	0120.110:chāng
伦	0747.030:lún
伧	0105.030:cāng 0134.050:chen
伪	1196.070:wěi
伫	1513.030:zhù
伯	0025.030:bǎi 0084.100:bó
估	0393.080:gū 0401.010:gù
伲	0829.100:nì
伴	0032.050:bàn
伶	0721.020:líng
伷	1506.090:zhòu
伸	1017.040:shēn
伺	0177.020:cì 1090.150:sì
似	1054.020:shì 1090.080:sì
伽	0349.070:gā 0541.110:jiā 0923.070:qié
伾	0865.030:pī
佀	1090.070:sì
佃	0247.020:diàn 1138.040:tián
但	0213.010:dàn
佇	1513.031:zhù
佈	0095.031:bù
佉	0941.170:qū
佊	0058.030:bǐ
位	1201.060:wèi
低	0229.090:dī
住	1514.010:zhù
佐	1551.010:zuǒ
佑	1405.020:yòu
体	1127.010:tī 1129.030:tǐ
佔	1452.071:zhàn
何	0450.020:hé
佗	1173.090:tuó
佘	1011.020:shé
余	1408.170:yú
佚	1371.020:yì
佛	0332.090:fó 0339.120:fú
作	1550.030:zuō 1550.080:zuó 1553.030,1554.031:zuò
佝	0389.060:gōu
佞	0836.050:nìng
佟	1154.100:tóng
你	0828.020:nǐ
佢	0944.041:qú
佣	1391.120:yōng 1393.030:yòng
佤	1177.010:wǎ
佥	0908.020:qiān
佧	0626.020:kǎ
佩	0861.020:pèi
佫	0455.140:hè
佬	0682.040:lǎo
佯	1335.040:yáng
佰	0025.010:bǎi
佳	0540.030:jiā
佴	0291.030:èr 0815.010:nài
佶	0526.020:jí
佹	0420.040:guǐ
佺	0949.080:quán
佻	1139.010:tiāo
佼	0568.010:jiǎo
佽	0176.050:cì
佾	1371.050:yì
使	1045.010:shǐ
侁	1017.090:shēn
侂	1173.010:tuō
侃	0632.060:kǎn
侄	1486.060:zhí
來	0669.121:lái
侈	0144.040:chǐ
侉	0656.030:kuǎ
例	0698.060:lì
侍	1050.040:shì
侏	1507.080:zhū
侑	1405.060:yòu
侔	0804.130:móu
侖	0745.071:lún
