㐀	一卝
䮗	厂山干馬厈岸
䮘	儿臼馬兒
䮙	一口戈馬或
䮚	八土夊馬圥夌
䮛	亻寸阝馬付附
䮜	世木馬枼
䮝	冖車馬軍
䮞	一二人日馬三春𡗗
䮟	又宀火馬叜灾
䮠	一口田馬畐𠮛
䮡	夊日馬𠂉复
䮢	干臼馬臿
䮣	又又又木馬叒桑
䮤	冖隹馬隺
䮥	馬鬲
䮦	馬高
䮧	人十十日馬倝早𠦝
䮨	宀辛馬宰
䮩	馬骨
䮪	木舛馬桀
䮫	女馬婁
䮬	大日艹馬旲莫
䮭	爫見馬覓
䮮	馬麥
䮯	士攵方馬放敖
䮰	丷亠冂十口馬古啇
䮱	豕辶馬逐
䮲	馬黃
䮳	田釆馬番
䮴	癶豆馬登
䮵	立里馬童
䮶	木隹馬集
䮷	勹罒虫馬蜀𦉶
䮸	⺕冖爻馬𦥑𦥯
䮹	一丿戈止馬𣥂戊戌步歲
䮺	馬齊
䮻	一乛口土寸工馬吋壽
䮼	火火舛馬㷠炎
䮽	灬馬鹿麃
䮾	馬龍
䮿	一井八宀足馬蹇𠀎𡨄
䯀	耳耳耳馬聑聶
䯁	⺄⺼亠十口羊馬𠃊亡卂羸𦝠
䯂	木馬馬馬驫
䯃	女宀马安
䯄	人冂口马内呙
䯅	又又耳马双聂
䯆	乚骨
䯇	力骨
䯈	二儿骨元
䯉	欠骨
䯊	一亅口骨丁可
䯋	丶又骨𠂇友犮
䯌	九尸骨尻
䯍	一骨龴𠆢亼令
䯎	人干骨
䯏	丿十口骨千
䯐	肉骨
䯑	儿骨光
䯒	行骨
䯓	土土骨圭
䯔	丿乚宀骨七乇宅
䯕	丿土廴骨廷𡈼
䯖	丶艮骨良
䯗	土比骨坒
䯘	二儿宀骨元完
䯙	丶骨甫
䯚	⺼幺骨
䯛	㔾夕宀骨夗宛
䯜	丿丿勹日骨勿易
䯝	⺼工骨𠂇左
䯞	冂冂口骨𠃍冎咼
䯟	丷豕骨㒸
䯠	人囗皿骨囚𥁕
䯡	一丷骨䒑兼
䯢	骨麻
䯣	一丨口貝骨中貴
䯤	⺌一囗日骨𠆢亼會
䯥	幺幺日灬骨㬎𢆶𢇁
䯦	人卝戈罒骨戍蔑
䯧	亠冂冖口口冋
䯨	大高
䯩	巴高
䯪	頁高
䯫	亠口小日高京景
䯬	亠十口口口口口囗吅單回𩫏
䯭	又髟
䯮	丿髟𠄎乃
䯯	丿小髟少
䯰	人髟介
䯱	一髟不
䯲	巴髟
䯳	八厶髟公
䯴	殳髟
䯵	十廾髟卉
䯶	且髟
䯷	戈髟𠂇戎
䯸	二欠髟次
䯹	⺕冖又髟𠬶
䯺	口氏髟𠯑
䯻	口髟告
䯼	火犭髟狄
䯽	口立髟咅
䯾	冂口土髟周
䯿	亠人人十髟从卒
䰀	女禾髟委
䰁	彑氺髟彔
䰂	木爫髟采
䰃	一一丷髟䒑业並
䰄	心田髟思
䰅	頁髟
䰆	木矛髟柔
䰇	日耂髟者
䰈	一丷丿土工髟䒑差𦍌
䰉	殳舟髟般
䰊	丶寸髟尃甫
䰋	女宀日髟安晏
䰌	人人彳髟龰从從
䰍	人木氺髟桼
䰎	一丨口貝髟中貴
䰏	十戈隹髟截𢦏
䰐	一人皿臣髟監臥
䰑	而雨髟需
䰒	一冂艹豕髟冡蒙𠔼
䰓	方穴自髟臱
䰔	殳皿舟髟盤般
䰕	田皿虍髟盧𧆨
䰖	儿儿貝髟先先兟贊
䰗	⺈鬥黾
䰘	彡羽鬥𠆢㐱翏
䰙	支鬲
䰚	文鬲
䰛	瓦鬲
䰜	弓弓鬲弜
䰝	⺌丷囗日鬲曾
䰞	弓弓日耂鬲䰜弜者
䰟	二厶鬼云
䰠	申鬼
䰡	丿二人鬼夫失
䰢	行鬼
䰣	网鬼
䰤	東鬼
䰥	一口戈鬼或
䰦	丿十甲鬼卑
䰧	儿虍鬼虎
䰨	目鬼𠃜眉
䰩	日耂鬼者
䰪	⺼人鬼脊
䰫	一儿土土土鬼兀垚堯
䰬	儿冂口矛鬼冏矞𦉪
䰭	而而鬼𦓔
䰮	一丷土我鬼䒑義𦍌
䰯	匕疋矢鬼龴疑𠤕
䰰	而雨鬼需
䰱	人人口口口工雨鬼从巫霝靈
䰲	乚魚
䰳	一亅魚丁
䰴	乙魚𠂉乞
䰵	子魚
䰶	亠魚𠃊亡
䰷	一丨二魚三丰
䰸	八厶魚公
䰹	戈魚
䰺	斤魚
䰻	攵魚
䰼	一魚𠆢亼今
䰽	一巾魚巿
䰾	巴魚
䰿	也魚𠂉㐌
䱀	央魚
䱁	本魚
䱂	力幺魚幼
䱃	丿二人魚夫失
䱄	瓜魚
䱅	末魚
䱆	丿子魚𠄎乃孕
䱇	一日魚旦
䱈	示魚
䱉	且魚
䱊	米魚
䱋	一一丨丨八魚共卄龷
䱌	魚𦣞
䱍	二魚亙
䱎	二曰魚亘
䱏	豆魚
䱐	子爫魚孚
䱑	扌斤魚折
䱒	邑魚
䱓	丿土廴魚廷𡈼
䱔	丨亻攵魚攸
䱕	母魚𠂉每
䱖	丣魚
䱗	又歺魚𣦼
䱘	刂禾魚利
䱙	⺊一又小魚上叔尗
䱚	彑氺魚彔
䱛	一口戈魚或
䱜	一一丨丨日魚卄昔龷
䱝	丿十甲魚卑
䱞	大示魚奈
䱟	十口尸魚古居
䱠	戈戈魚戔
䱡	勹米魚匊
䱢	爫魚爭
䱣	亠人人十魚从卒
䱤	⺈臼魚臽
䱥	刂魚制
䱦	隹魚
䱧	㔾丷二人魚卷夫龹
䱨	刂朿魚刺
䱩	一丷亠冂魚𠃊䒑亡罔
䱪	魚龶𧘇表
䱫	刂束魚剌
䱬	⺼疋魚胥
䱭	二忄魚亙恆
䱮	丨刀大彡魚㓞丯契
䱯	攵矛魚敄
䱰	重魚
䱱	丷亠冖巾魚帝
䱲	彑魚𧰨彖
䱳	厂里魚厘
䱴	二忄曰魚亘恒
䱵	八厶羽魚公翁
䱶	丶阝魚郎
䱷	攵虍魚
䱸	⺕丨又魚叟𦥑𦥔
䱹	一丷丿土工魚䒑差𦍌
䱺	山豆魚豈
䱻	骨魚
䱼	一一丨丨尸魚𠄌卄展龷
䱽	一口魚𠆢亼倉
䱾	女魚婁
䱿	斤車魚斬
䲀	丶丷九土干魚丸執幸𢆉
䲁	寸尸示魚尉
䲂	人方疋魚㫃旋
䲃	巛日木魚巢果
䲄	攵母魚𠂉敏每
䲅	二人見魚夫規
䲆	魚魚
䲇	束辶魚速
䲈	魚麻
䲉	八斤魚其斯
䲊	⺼工阝魚𠂇左隋
䲋	二二人人曰魚㚘夫夫替
䲌	士欠示魚款
䲍	丷二人舟魚夫龹
䲎	一丨攵耳魚丅敢
䲏	冖力火火魚勞炏𤇾
䲐	力毌虍魚虜
䲑	一丷土我魚䒑義𦍌
䲒	刀牛角魚解
䲓	一人人口口魚𠆢亼从僉吅
䲔	一二田田魚三畕畺
䲕	一丷日魚䒑
䲖	一乛口土寸工魚吋壽
䲗	行金魚銜
䲘	㠯宀魚𥫗官管
䲙	卩魚𥫗即節
䲚	刀束貝魚賴
䲛	冖卝目罒魚瞢
䲜	魚魚魚魚
䲝	㔾鱼𠆢仓
䲞	立鱼
䲟	卩鱼印
䲠	一二人日鱼三春𡗗
䲡	丷酉鱼酋
䲢	丷二人月鱼夫龹
䲣	攵虍鱼
䲤	氵酉鱼酒
䲥	九鳥
䲦	大鳥
䲧	土鳥
䲨	工鳥
䲩	尸鳥
䲪	大鳥
䲫	一儿鳥兀
䲬	氏鳥
䲭	氏鳥
䲮	二儿鳥元
䲯	及鳥
䲰	二厶鳥云
䲱	方鳥
䲲	八厶鳥公
䲳	亠几鳥亢
䲴	火鳥
䲵	丿小鳥少
䲶	二儿鳥元
䲷	木鳥
䲸	人鳥介
䲹	一一鳥不丕
䲺	甘鳥
䲻	玄鳥
䲼	生鳥
䲽	石鳥
䲾	㇉一工鳥丂巧
䲿	匕尸鳥尼
䳀	丿二人鳥夫失
䳁	丶又鳥𠂇友犮
䳂	刀口鳥召
䳃	㔾夕鳥夗
䳄	匕止鳥此
䳅	八口鳥只
䳆	白鳥
䳇	母鳥
䳈	勹巳鳥包
䳉	夂鳥冬
䳊	丶又鳥𠂇友犮
䳋	虫鳥
䳌	⺼厶鳥䏍
䳍	一一丨丨八鳥共卄龷
䳎	臼鳥
䳏	土土鳥圭
䳐	二欠鳥次
䳑	月鳥𠂇有
䳒	十戈鳥𢦏
䳓	老鳥
䳔	臼鳥
䳕	子爫鳥孚
䳖	乚耳鳥耴
䳗	我鳥
䳘	我鳥
䳙	㇉一由鳥丂甹
䳚	干日鳥旱
䳛	女日鳥妟
䳜	人八干鳥余
䳝	口立鳥咅
䳞	一二人鳥三奉𡗗
䳟	日月鳥明
䳠	一丿鳥垂
䳡	隹鳥
䳢	八鳥其
䳣	十戈鳥𢦏
䳤	丷八巾鳥㡀
䳥	一山鳥龴𠆢亼令岺
䳦	二宀曰鳥亘宣
䳧	一亻矢鳥侯
䳨	王白鳥皇
䳩	女覀鳥要
䳪	山而鳥耑
䳫	一大癶鳥天癸
䳬	革鳥
䳭	卩鳥即
䳮	⺼永鳥
䳯	重鳥
䳰	亻口木鳥保呆
䳱	力攵矛鳥務敄
䳲	扌辰鳥振
䳳	凵屮示鳥出祟
䳴	罒鳥眔
䳵	人人力木鳥从來勑
䳶	大幺爫鳥奚
䳷	人人彳鳥龰从從
䳸	鳥麻
䳹	二儿宀攴鳥元完寇
䳺	一酉鳥𠆢亼今酓
䳻	斤車鳥斬
䳼	匸口口口鳥區吅品
䳽	山隹鳥崔
䳾	癶豆鳥登
䳿	⺼灬犬鳥然肰
䴀	立里鳥童
䴁	宀禺鳥寓
䴂	⺈鳥𧰨象
䴃	一儿土土土鳥兀垚堯
䴄	冖爫舛鳥舜
䴅	十廾貝鳥卉賁
䴆	一一丷二人鳥䒑业夫菐
䴇	一雨鳥龴𠆢亼令零
䴈	丿冂大釆鳥奧
䴉	一口罒鳥𧘇睘𠮛
䴊	一丷土我鳥䒑義𦍌
䴋	一口罒鳥𧘇睘𠮛
䴌	一冂艹豕鳥冡蒙𠔼
䴍	貝貝鳥賏
䴎	田田田鳥畾
䴏	匕口廿灬鳥北燕
䴐	宀王缶貝鳥寶珤
䴑	且冖田田田鳥冝畾疊
䴒	人人口口口工雨鳥从巫霝靈
䴓	一巾鸟帀
䴔	亠父鸟交
䴕	刂歹鸟列
䴖	青鸟
䴗	犬目鸟狊
䴘	儿虍鸟𠂆虎虒
䴙	口尸辛鸟辟𡰪
䴚	亠几鹵亢
䴛	⺌⺼鹵肖
䴜	鬼鹵
䴝	二冂又耳鹵冃取最
䴞	羽隹鹵翟
䴟	丶几鹿凡
䴠	丿大鹿夭
䴡	一一丿比业严亚
䴢	木鹿
䴣	乎鹿
䴤	生鹿
䴥	力口鹿加
䴦	言鹿
䴧	女禾鹿委
䴨	厂小白鹿原
䴩	示覀鹿票
䴪	彑氺礻鹿彔祿
䴫	一雨鹿龴𠆢亼令零
䴬	弋麥
䴭	才麥
䴮	山麥
䴯	丿丿勹麥勿
䴰	戈麥
䴱	匕宀麥它
䴲	末麥
䴳	穴麥
䴴	⺊口麥占
䴵	一丷廾麥并开
䴶	一丨二夂麥三丰夆
䴷	二儿宀麥元完
䴸	子爫麥孚
䴹	日木麥果
䴺	口立麥咅
䴻	丿勹禾麥𥝢
䴼	戈戈麥戔
䴽	丿十甲麥卑
䴾	一丷丿土工麥䒑差𦍌
䴿	一冂豕麥冡𠔼
䵀	⺌貝麥𧴪
䵁	寸爿麥將
䵂	丷亠冂十口麥古啇
䵃	麥黃
䵄	曲豆麥豊
䵅	士攵方麥放敖
䵆	一冂艹豕麥冡蒙𠔼
䵇	攵麻
䵈	夊幺彳麻後
䵉	一刂月麻𠆢亼俞刖
䵊	丹黃
䵋	月黃𠂇有
䵌	人人大黃从夾
䵍	亠口子黃享
䵎	山而黃耑
䵏	彡羽黃𠆢㐱翏
䵐	口口黃吅單
䵑	丶刀黍刃
䵒	日黍
䵓	牛黍
䵔	東黍
䵕	十口尸黍古居
䵖	又臣黍臤
䵗	一口田黍畐𠮛
䵘	一丿丿勹日黍勿旦昜
䵙	夕夕大黍多奓
䵚	爫臼黍舀
䵛	又土臣黍堅臤
䵜	曲辰黍農
䵝	乚黑
䵞	刂黑
䵟	干黑
䵠	丶勹黑勺
䵡	一大黑天
䵢	未黑
䵣	一日黑旦
䵤	干干黑幵
䵥	色黑
䵦	于氵黑汙
䵧	十戈黑𢦏
䵨	丶尢彡黑尤尨
䵩	刂禾黑利
䵪	日比黑昆
䵫	㔾夕宀黑夗宛
䵬	日水黑沓
䵭	日耂黑者
䵮	一丿丿勹日黑勿旦昜
䵯	重黑
䵰	一丿丿勹日黑𠂉勿旦昜
䵱	十口豆黑喜壴
䵲	口口口木黑吅品喿
䵳	⺌一囗日黑𠆢亼會
䵴	黑黽
䵵	大目黑𥫗
䵶	勹口黽句
䵷	土土黽圭
䵸	火禾黽秋
䵹	于口矢黽知
䵺	土鼎
䵻	⺕一一丨丨二二鼎三三丰丰彗
䵼	寸爿鼎將
䵽	厶土鼓去
䵾	亻寸鼓付
䵿	⺊口鼓占
䶀	一口鼓𠆢亼合
䶁	日水鼓沓
䶂	丶勹鼠勺
䶃	一鼠𠆢亼今
䶄	丷干鼠平
䶅	口夂鼠各
䶆	隹鼠
䶇	二冂由鼠冃冑
䶈	丶寸鼠尃甫
䶉	丶刀田鼠留
䶊	丑鼻
䶋	及鼻
䶌	勹巳鼻包
䶍	至鼻
䶎	一口鼻𠆢亼合
䶏	丨丷丿弓鼻弔弟𢎨
䶐	⺌一囗日鼻𠆢亼會
䶑	冖厶士田鼻龰
䶒	女齊
䶓	巾齊
䶔	也齒
䶕	巴齒
䶖	一齒𠆢亼今
䶗	一亅口齒丁可
䶘	立齒
䶙	工齒巨
䶚	虫齒
䶛	刂歹齒列
䶜	口齒告
䶝	人人大齒从夾
䶞	八齒其
䶟	⺈臼齒臽
䶠	一丿口戈齒咸戊戌
䶡	刂貝齒則
䶢	一丿口戈齒咸戊戌
䶣	山豆齒豈
䶤	骨齒
䶥	且虍齒虘
䶦	貝齒龶責
䶧	一儿土土土齒兀垚堯
䶨	一人人口口齒𠆢亼从僉吅
䶩	齊齒
䶪	十戈隹齒截𢦏
䶫	一丨厂口口攵耳齒丅吅嚴敢𠪚
䶬	干干龍幵
䶭	王龙
䶮	一大龙天
䶯	女龜
䶰	毛龜
䶱	夂龜冬
䶲	冉龜
䶳	亠几龠亢
䶴	欠火龠炊
䶵	儿虍龠𠂆虎虒
一	一
丁	一亅
丂	㇉一
七	乚
丄	一丨
丅	一丨
丆	一丿
万	一
丈	丈
三	一二
上	⺊一
下	一卜
丌	一
不	一
与	一
丏	丏
丐	丐
丑	丑
丒	一丶刀刃
专	专
且	且
丕	一一不
世	世
丗	丨廿
丘	丘
丙	一人冂内
业	一
丛	一人人从
东	东
丝	一
丞	一亅了氶
丟	一厶土去
丠	一匕北
両	一
丢	丿厶土去
丣	丣
两	一
严	一一丿业亚
並	一一丷䒑业
丧	丷土𠄌
丨	丨
丩	丨𠃊
个	丨𠆢
丫	丨丷
丬	丬
中	丨口
丮	⺄
丯	丨彡
丰	一丨二三
丱	丱
串	丨口口吕
丳	口口吕
临	〢丶𠂉
丵	一丷干业𢆉
丶	丶
丷	丷
丸	丶九
丹	丹
为	为
主	丶王
丼	丶井
丽	一丶丶冂冂
举	⺍一八兴
丿	丿
乀	乀
乁	乁
乂	丿乀
乃	丿𠄎
乄	乄
久	久
乆	乀
乇	丿乚七
么	丿厶
义	丶丿乀乂
乊	丷丿
之	丿
乌	一
乍	乍
乎	乎
乏	丿丿之
乐	乐
乑	乑
乒	丘丿
乓	丘丶
乔	丿大夭
乕	𠂆
乖	丿匕十北千
乗	乗
乘	匕禾北
乙	乙
乚	乚
乛	乛
乜	乜
九	九
乞	乙𠂉
也	也
习	冫𠃌
乡	乡
乢	乚山
乣	乚幺
乤	一乙卜下
乥	丷丿乙乊
书	书
乧	乙斗
乨	乚厶口台
乩	⺊乚口占
乪	乙田
乫	乙力口加
乬	乙工巨
乭	乙石
乮	丿乙卩卯
乯	乎乙
买	乛大头
乱	乚舌
乲	乙二欠次
乳	乚子爫孚
乴	乙扌斤折
乵	乚辛
乶	丶乙甫
乷	丿乙小氵少沙
乸	也母
乹	乚十十日早𠦝
乺	乙户斤所
乻	乙人方㫃於
乼	丶乙氵王主注
乽	乙日耂者
乾	乙人十十日倝早𠦝
乿	乚爫糹
亀	⺈
亁	乙十干日𠂉乞旱
亂	乚又爫禸龴𤔔
亃	乚米舛粦
亄	乚冖士豆壹
亅	亅
了	亅
亇	亅
予	乛亅龴
争	⺈
亊	亊
事	事
二	二
亍	一一亅丁
于	于
亏	㇉一一丂
亐	㇉一一𠀁
云	二厶
互	一彑
亓	一一丌
五	一𫝀
井	井
亖	二二
亗	二山
亘	二曰
亙	二
亚	一一业
些	二匕止此
亜	亜
亝	二厶厶厶厽
亞	二
亟	㇉一一又口丂
亠	亠
亡	亠𠃊
亢	亠几
亣	亠
交	亠父
亥	亠人𠂈
亦	亠
产	丷亠厂
亨	亅亠口了
亩	亠田
亪	乁亠亦
享	亠口子
京	亠口小
亭	一亅亠冖口丁
亮	亠儿冖口
亯	亠口日
亰	亠小日
亱	一亠亻日但旦
亲	木立
亳	丿乚亠冖口七乇
亴	九亠冖口土
亵	丶九扌衣丸执
亶	一亠口囗日㐭回旦
亷	丷亠厂产
亸	丷亠口子享单
亹	⺕一且亠冂冖口同舋𠔼𦥑
人	人
亻	亻
亼	一𠆢
亽	丶𠆢
亾	人𠃊
亿	乙亻
什	亻十
仁	二亻
仂	亻力
仃	一亅亻丁
仄	人厂
仅	亻又
仆	亻卜
仇	九亻
仈	亻八
仉	亻几
今	一𠆢亼
介	人
仌	人人
仍	丿亻𠄎乃
从	人人
仏	亻厶
仐	十𠆢
仑	匕𠆢
仒	人
仓	㔾𠆢
仔	亻子
仕	亻士
他	也亻
仗	丈亻
付	亻寸
仙	亻山
仚	山𠆢
仛	丿乚亻七乇
仜	亻工
仝	工𠆢
仞	丶亻刀刃
仟	丿亻十千
仠	亻干
仡	乙亻𠂉乞
仢	丶亻勹勺
代	亻弋
令	一龴𠆢亼
以	人
仦	亻小
仧	⺊一人上
仨	一二亻三
仩	⺊一亻上
仪	丶丿乀亻乂义
仫	丿亻厶么
们	亻门
仭	乀亻刀刄
仮	亻厂又反
仯	丿亻小少
仰	亻卩卬
仱	一亻𠆢亼今
仲	丨亻口中
仳	亻比
仴	亻月
仵	亻十𠂉午
件	亻牛
价	人亻介
仸	丿亻大夭
仹	一丨二亻三丰
仺	一人匚
任	一亻士壬
仼	亻王
份	亻八刀分
仾	一亻彑互
仿	亻方
伀	亻八厶公
企	人止
伂	一亻巾巿
伃	乛亅亻龴予
伄	丨亻弓弔
伅	丿乚亻凵屯𡳾
伆	丿丿亻勹勿
伇	亻殳
伈	亻心
伉	亠亻几亢
伊	⺕丿亻尹
伋	亻及
伌	㔾亻厂厄
伍	一亻𫝀五
伎	亻支
伏	亻犬
伐	亻戈
休	亻木
伒	亻斤
伓	一亻不
伔	亻冖几冗
伕	二人亻夫
伖	亻又𠂇友
众	人人人从
优	丶亻尢尤
伙	亻火
会	二厶𠆢云
伛	丿乀亻匸乂区
伜	九亻十卆
伝	二亻厶云
伞	丷人十
伟	亻韦
传	专亻
伡	亻车
伢	亻牙
伣	亻见
伤	亻力𠂉
伥	亻长
伦	亻匕𠆢仑
伧	㔾亻𠆢仓
伨	二亻勹勻
伩	亻文
伪	为亻
伫	一亻宀㝉
伬	乀亻尸尺
伭	亻玄
伮	亻又女奴
伯	亻白
估	亻十口古
伱	人亻小尒
伲	亻匕尸尼
伳	世亻
伴	丷亻半
伵	亻儿囗四
伶	一亻龴𠆢亼令
伷	亻由
伸	亻申
伹	且亻
伺	一亻口𠃌司
伻	丷亻干平
似	人亻以
伽	亻力口加
伾	一一亻不丕
伿	亻八口只
佀	㠯亻
佁	亻厶口台
佂	一亻止正
佃	亻田
佄	亻甘
佅	亻未
但	一亻日旦
佇	一亅亻宀丁宁
佈	亻巾𠂇布
佉	亻厶土去
佊	亻皮
佋	亻刀口召
佌	亻匕止此
位	亻立
低	一亻氏氐
住	丶亻王主
佐	亻工𠂇左
佑	亻口𠂇右
佒	亻央
体	亻本
佔	⺊亻口占
何	一亅亻口丁可
佖	丿亻心必
佗	亻匕宀它
佘	人示
余	人八干
佚	丿二人亻夫失
佛	亻弓弗
作	乍亻
佝	亻勹口句
佞	二亻女仁
佟	亻夂冬
你	亻小尔
佡	亻山𠆢仚
佢	亻工巨
佣	亻用
佤	亻瓦
佥	⺍一一𠆢亼
佦	亻石
佧	⺊一亻卜上卡
佨	亻勹巳包
佩	⺄一丿亻巾𠘨
佪	亻口囗回
佫	亻口夂各
佬	亻老
佭	㐄亻夂夅
佮	一亻口𠆢亼合
佯	亻羊
佰	一亻白百
佱	一一止𠆢亼正
佲	亻口夕名
佳	亻土土圭
佴	亻耳
併	一丷亻廾并开
佶	亻口士吉
佷	亻艮
佸	丿亻十口千
佹	⺈㔾亻厂危厃
佺	亻入王全
佻	亻儿兆
佼	亠亻父交
佽	二亻欠次
佾	⺼亻八䏌
使	一亻史吏
侀	一亻刂廾刑开
侁	亻儿先
侂	丿乚亻广㡯七乇
侃	亻口㐰
侄	亻至
侅	亠人亻𠂈亥
來	人人木从
侇	亻大弓夷
侈	亻夕夕多
侉	㇉一一亻大丂亏夸
侊	亻儿光
例	亻刂歹列
侌	一二厶𠆢云亼今
侍	亻士寸寺
侎	亻米
侏	丿亻未朱
侐	亻血
侑	亻月𠂇有
侒	亻女宀安
侓	亻聿
侔	亻厶牛牟
侕	亻而
侖	一一丨丨冂𠆢亼卄𠕁
侗	一亻冂口同𠔼
侘	丿乚亻宀七乇宅
侙	亻工弋式
侚	亻勹日旬
供	一一丨丨亻八共卄龷
侜	亻舟
依	亻衣
侞	亻口女如
侟	丨亻子𠂇存
侠	丷二人亻夫夹龹
価	亻覀
侢	一亻冉再
侣	亻口口吕
侤	㇉一亻耂丂考
侥	一亻儿兀尧
侦	⺊亻贝贞
侧	亻刂贝则
侨	丿亻大乔夭
侩	二亻厶𠆢云会
侪	亻齐
侫	亠亻女𠃊亡妄
侬	亻冖𧘇农
侭	乀亻尸尺尽
侮	亻母𠂉每
侯	一亻矢
侰	⺕丿亻口君尹
侱	亻口王呈
侲	亻辰
侳	人人亻土从坐
侴	一丑刂𠆢亼
侵	⺕亻冖又
侶	丿亻口口呂
侷	亻口尸𠃌局
侸	亻豆
侹	丿亻土廴廷𡈼
侺	一亻山𠆢亼今岑
侻	亻儿八口㕣兌
侼	亻冖十子孛
侽	亻力田男
侾	亻子耂孝
便	一亻更
俀	亻女爫妥
俁	亻口大吳
係	丿亻糸系
促	亻足
俄	亻我
俅	丶亻求
俆	人亻八干余
俇	亻犭王狂
俈	亻口告
俉	一亻口𫝀五吾
俊	亻儿厶夊允夋
俋	亻邑
俌	丶亻甫
俍	丶亻艮良
俎	且人人仌
俏	⺌⺼亻肖
俐	亻刂禾利
俑	亻用龴甬
俒	二亻儿宀元完
俓	一亻巛工巠
俔	亻見
俕	亻宀木宋
俖	一亻口不否
俗	亻谷
俘	亻子爫孚
俙	丿乀亻巾𠂇乂布希
俚	亻里
俛	⺈亻免
俜	㇉一亻由丂甹
保	亻口木呆
俞	一刂月𠆢亼刖
俟	亻厶矢矣
俠	人人亻大从夾
信	亻言
俢	亻彡攵
俣	一亻口大吴天
俤	丨丷丿亻弓弔弟𢎨
俥	亻車
俦	一丨二亻寸三丰寿
俧	亻士心志
俨	一一丿亻业严亚
俩	一亻两
俪	一丶丶亻冂冂丽
俫	丷亻未来
俬	亻厶禾私
俭	⺍一一亻𠆢亼佥
修	丨亻彡攵攸
俯	亻亻寸广付府
俰	亻口禾和
俱	亻八具
俲	亠亻力父交効
俳	亻非
俴	亻戈戈戔
俵	亻龶𧘇表
俶	⺊一亻又小上叔尗
俷	⺼亻巴肥
俸	一二人亻三奉𡗗
俹	二亻亞
俺	乚亻大日奄电
俻	亻夂田备
俼	⺼一亻厶育𠫓
俽	亻斤欠欣
俾	丿亻十甲卑
俿	亻儿虍虎
倀	亻長
倁	亻口矢知
倂	丿丿亻干干幵幷
倃	人亻口夂各咎
倄	⺼丿乀亻𠂇乂肴
倅	亠人人亻十从卒
倆	一亻入入㒳兩𠓜
倇	㔾亻夕宀夗宛
倈	人人亻木从來
倉	一口𠆢亼
倊	亻八厶心公忩
個	亻十口囗古固
倌	㠯亻宀官
倍	亻口立咅
倎	亻八典
倏	丨亻攵犬攸
倐	丨亻攵火攸
們	亻門
倒	亻刂至到
倓	亻火火炎
倔	亻凵尸屮出屈
倕	一丿亻垂
倖	丷亻土干幸𢆉
倗	亻月月朋
倘	⺌亻冂口冋尚
候	一丨亻矢
倚	一亅亻口大丁可奇
倛	亻八其
倜	亻冂口土周
倝	人十十日早𠦝
倞	亠亻口小京
借	一一丨丨亻日卄昔龷
倠	亻隹
倡	亻日曰昌
倢	亻疌
倣	亻攵方放
値	亻十直
倥	亻工穴空
倦	㔾丷二人亻卷夫龹
倧	亻宀示宗
倨	亻十口尸古居
倩	亻青
倪	亻儿臼兒
倫	一一丨丨亻冂𠆢亼侖卄𠕁
倬	⺊亻十日卓早
倭	亻女禾委
倮	亻日木果
倯	亻八厶木公松
倰	亻八土夊圥夌
倱	亻日比昆
倲	亻東
倳	事亻
倴	亻十大廾卉奔
倵	亻止武
倶	亻八具
倷	亻大示奈
倸	亻木爫采
倹	一亻𠆢㑒
债	亻贝龶责
倻	亻耳阝耶
值	亻十直
倽	人亻舌舍
倾	亻匕页顷
倿	亻女立妾
偀	亻央艹英
偁	亻冉爫爯
偂	一丷亻刂月䒑刖前
偃	亻匸女日匽妟
偄	亻大而耎
偅	亻重
偆	一二人亻日三春𡗗
假	亻又叚
偈	人亻勹曰𠃊亾匃曷
偉	亻韋
偊	亻禹
偋	一丷亻尸廾屏并开
偌	亻口艹𠂇右若
偍	一亻日龰是𤴓
偎	一亻田𠄌畏
偏	一丨丨亻冂户卄扁𠕁
偐	亻厂彡文彥
偑	亻風
偒	一丿丿亻勹日勿旦昜
偓	亻尸至屋
偔	㇉一一亻口口丂亏吅咢
偕	亻比白皆
偖	亻日耂者
偗	丿亻小目少省
偘	亻口口口吅品
偙	丷亠亻冖巾帝
做	亻十口攵古故
偛	亻干臼臿
停	一亅亠亻冖口丁亭
偝	⺼亻匕北背
偞	世亻木枼
偟	亻王白皇
偠	亻女覀要
偡	亻八匸甘匹甚
偢	亻火禾秋
偣	亻音
偤	丷亻酉酋
健	亻廴聿建
偦	⺼亻疋胥
偧	亻夕夕大多奓
偨	亻匕木止柴此
偩	⺈亻貝負
偪	一亻口田畐𠮛
偫	亻士寸彳寺待
偬	亻勹心匆怱
偭	亻面
偮	亻口耳咠
偯	亻口衣哀
偰	丨亻刀大彡㓞丯契
偱	亻十目𠂆盾𥃭
偲	亻心田思
偳	亻山而耑
側	亻刂貝則
偵	⺊亻貝貞
偶	亻禺
偷	一亻刂月𠆢亼俞刖
偸	一亻巜月𠆢亼兪
偹	丨亻夂田备
偺	人亻夂日昝
偻	亻女米娄
偼	⺊⺕亻龰
偽	亻為
偾	亻十廾贝卉贲
偿	⺌二亻冖厶云尝
傀	亻鬼
傁	⺕丨亻又叟𦥑𦥔
傂	亻儿虍𠂆虎虒
傃	亻糸龶素
傄	丷亻大目𡗜
傅	丶亻寸尃甫
傆	亻厂小白原
傇	亻耳艹茸
傈	亻木覀栗
傉	亻寸辰辱
傊	亻口貝員
