㐀	一卝
㓰	一凵刂田画
㓱	一刂刂月𠆢亼俞刖
㓲	一丨丨冂刂户卄扁𠕁
㓳	一刂日龰是𤴓
㓴	刂大而耎
㓵	㇉一一刂口口丂亏吅咢
㓶	丨刀刂大彡㓞丯契
㓷	刂木自臬
㓸	刂𠁁
㓹	刂厂火火剡炎
㓺	刂文虍虔
㓻	一刂止罒正罡
㓼	人刂木氺桼
㓽	刂宀山示宗崇
㓾	刂尸牛犀
㓿	刂黍
㔀	亠刂口小日京景
㔁	刂癶豆登
㔂	刂米舛粦
㔃	刀刀巴糹絕
㔄	刂米覀粟
㔅	⺕一丨刂肀肅𦘒
㔆	刂旡旡曰朁
㔇	刂弓殳癶癹發
㔈	刂艹非菲
㔉	刂尸禹属
㔊	一亠刂口囗日㐭亶回旦
㔋	一人刂皿臣監臥
㔌	人人亻刂又耳从取聚
㔍	刂廾目𥫗算𥃲
㔎	㠯丿刀屮辛辥𠂤𡴎
㔏	刂石石石磊
㔐	一刂竹韭
㔑	㠯丿刀艹辛薛𠂤
㔒	儿冂刂口山隹冏崔巂𦉪
㔓	丿力十千
㔔	〇力口加
㔕	力气
㔖	力口𠃌加
㔗	力弓弗
㔘	凵力屮出
㔙	一丷力廾并开
㔚	力舌
㔛	力口士吉
㔜	力子爫孚
㔝	一入入力㒳兩𠓜
㔞	丿力匕十乖北千
㔟	丶九力生丸
㔠	人力勹曰𠃊亾匃曷
㔡	㐅丿力囗比囟龱𣬉
㔢	刀力巴糹絕
㔣	力田田田畾
㔤	力宀田釆審番
㔥	⺼力匕匕厶罒䏍罷能
㔦	一丷力土食䒑養𦍌
㔧	力田皿虍盧𧆨
㔨	⺼勹匕北背
㔩	勹厶土皿去盍
㔪	勹鹵
㔫	匕𠂇
㔬	匕十日早
㔭	一匕日龰是𤴓
㔮	⺼二人匕匕厶口廿䏍夫能
㔯	八匚口㕣
㔰	匸卜夕外
㔱	⺕人匚臾𦥑
㔲	九匚飠
㔳	几匚飠飢
㔴	一一丨丨八匚田共卄異龷
㔵	一一丨丨八匚巳巳共卄巽龷
㔶	匚十夂工貝音章貢贛
㔷	一人冂匸丙内
㔸	儿匸虍𠂆虎虒
㔹	力十
㔺	一乚十十
㔻	一十不
㔼	十扌隹推
㔽	⺊口囗回
㔾	㔾
㔿	一丨𠃊丩
㕀	㔾由
㕁	丿乀卩厶𠂇乂厷𠫤
㕂	一厂𠆢亼今
㕃	一厂廾开
㕄	一厂幺𢆰
㕅	厂甲
㕆	十厂口古
㕇	厂立
㕈	厂衣
㕉	一厂口𠆢亼合
㕊	丶厂甫
㕋	厂金
㕌	一厂寸日㝵旦
㕍	厂隹
㕎	厂厶土皿去盍
㕏	厂斗豆㪷
㕐	勹厂灬臼舄
㕑	十厂寸豆壴尌
㕒	一丷厂土我䒑義𦍌
㕓	厂土黑墨
㕔	一丿十厂土心罒耳聽𡈼𢛳
㕕	厶厶
㕖	厶厶厶木厽
㕗	一丷久厶土䒑羑𦍌
㕘	人厶厶厶小厽尒
㕙	⺈丶儿厶夊允免兔夋
㕚	丶丶又叉
㕛	又又
㕜	丨又口中
㕝	十又口古
㕞	又尸巾𡰯
㕟	⺊一丨丨冂又卄𠕁
㕠	冫又隹准
㕡	⺊一冂又谷䜭𠔼𣦵
㕢	⺊一冂又貝𠔼𣦵𣦻
㕣	八口
㕤	九口
㕥	人口
㕦	口大
㕧	口尸
㕨	丶几口凡
㕩	一丨二口三丰
㕪	冘口
㕫	口方
㕬	八厶口公
㕭	丿口大夭
㕮	口父
㕯	入冂口內
㕰	口毛
㕱	丶口尢尤
㕲	口木
㕳	丿乀凵口乂凶
㕴	冖几口冗
㕵	口王
㕶	一口𫝀五
㕷	口白
㕸	口立
㕹	丶又口𠂇友犮
㕺	㇉一口口丂吅
㕻	一丶口不否
㕼	丿乀勹口𠃊乂
㕽	人口以
㕾	乚口小七叱
㕿	口禾
㖀	口聿
㖁	丿乀厶口𠂇乂厷𠫤
㖂	口曳
㖃	一口口𠂆后𠮛
㖄	口州
㖅	一丿口戈戊戌
㖆	口曲
㖇	口而
㖈	口老
㖉	人口止企
㖊	口寸彐寻
㖋	乚人口七介叱
㖌	乚九亻口七仇叱
㖍	乚口斗七叱
㖎	乚人口七介叱
㖏	口土日圼
㖐	⺕丿口口吅尹
㖑	口廾戈戒
㖒	丨丷丿口弓弔弟𢎨
㖓	一丨二口夂三丰夆
㖔	一口口大吞天
㖕	口辛
㖖	口辛
㖗	一口山𠆢亼今岑
㖘	口辰
㖙	乚力口口七加叱
㖚	乚亻口寸七付叱
㖛	乚十口口七古叱
㖜	乚亠口口七叱
㖝	乚口未七叱
㖞	人冂口口内呙
㖟	冖又口爫受
㖠	口大示奈
㖡	亠亻口夜
㖢	匕口广止庛此
㖣	口口立咅
㖤	亅凵口了函
㖥	口囗禾囷
㖦	口東
㖧	口日氏昏
㖨	口彑氺彔
㖩	又口耳取
㖪	一口口戈或
㖫	八口土夊圥夌
㖬	又口臼𪠨
㖭	一口大天忝
㖮	一一丨丨冂口𠆢亼侖卄𠕁
㖯	一乚冂口口七叱同𠔼
㖰	一乚冂口口七叱同𠔼
㖱	亠亻口夜
㖲	乚口口女七叱如
㖳	乚口女氵七叱汝
㖴	丿丿勹口艹勿芴
㖵	八口具
㖶	口土西垔
㖷	一口日龰是𤴓
㖸	口虍虐
㖹	八刀口皿分盆
㖺	一二人口日三春𡗗
㖻	口木矛柔
㖼	口木甘某
㖽	口頁
㖾	一丷口口屮䒑吅屰
