a00045-020	
a00045-021	
a00045-022	
a00045-023	
a00045-024	
a00045-025	
a00045-026	
a00045-027	
a00045-028	
a00045-029	
a00045-030	
a00045-031	
a00045-032	
a00045-033	
a00045-034	
a00045-035	
a00045-036	
a00045-037	
a00045-038	
a00045-039	
a00045-040	
a00045-041	
a00045-042	
a00045-043	
a00045-044	
a00045-045	
a00045-046	
a00045-049	
a00045-050	
a00045-051	
a00045-054	
a00045-055	
a00045-056	
a00045-057	
a00045-058	
a00045-059	
a00045-060	
a00045-061	
a00045-062	
a00045-063	
a00045-065	
a00045-067	
a00045-068	
a00045-069	
a00045-070	
a00045-071	𤕅
a00045-072	
a00045-072-1	
a00045-072-2	
a00045-072-3	
a00046	了
a00047	予
a00047-002	
a00048	事
a00048-001	𠁱
a00048-002	叓
a00048-003	𠭏
a00048-004	𤔇
a00048-005	
a00048-007	
a00048-008	
a00048-012	
a00048-013	
a00048-014	
a00048-017	
a00048-018	
a00048-019	
a00048-020	
a00048-021	
a00048-021-1	
a00048-021-2	
a00048-021-3	𠫺
a00049	二
a00049-001	𠄠
a00049-002	弍
a00049-003	𢎐
a00049-004	貳
a00050	于
a00050-001	亏
a00050-002	
a00051	云
a00052	井
a00052-001	丼
a00053	互
a00053-001	㸦
a00053-002	
a00053-003	
a00053-005	
a00053-005-1	
a00054	五
a00054-001	㐅
a00054-002	𠄡
a00054-003	
a00054-004	
a00054-005	
a00054-006	乂
a00054-007	
a00054-008	
a00054-009	
a00054-010	
a00054-012	伍
a00055	亙
a00055-001	亘
a00055-003	𠄣
a00055-006	㮓
a00055-007	𣘰
a00055-008	
a00055-010	
a00055-011	
a00055-012	
a00055-013	
a00055-014	
a00055-015	𦚹
a00056	些
a00056-001	㱔
a00056-002	𡭟
a00056-003	呰
a00056-004	
a00056-006	
a00057	亞
a00057-001	亜
a00057-002	
a00057-003	
a00057-004	𠄮
a00057-005	
a00057-006	
a00057-007	俹
a00057-008	
a00057-009	
a00057-010	䢝
a00058	亟
a00058-001	𠄹
a00058-002	𠯉
a00058-003	焏
a00058-004	
a00058-005	
a00058-006	
a00058-006-1	
a00058-006-2	
a00058-006-3	𦯃
a00058-006-4	𦱩
a00058-006-5	䓧
a00058-007-1	
a00058-008	
a00058-009	
a00058-012	
a00058-013	
a00058-014	
a00059	亡
a00059-001	亾
a00059-002	兦
a00059-006	
a00059-007	
a00059-008	
a00059-009	
a00060	交
a00060-001	
a00060-002	
a00060-003	
a00060-004	
a00060-005	㬵
a00061	亦
a00061-001	𠅃
a00061-002	𡖋
a00061-003	𡗕
a00061-004	
a00061-005	𥩖
a00061-006	
a00061-007	
a00061-008	
a00061-010	
a00061-011	
a00061-012	
a00061-013	
a00062	亥
a00062-001	𠀅
a00062-002	𠦇
a00062-003	𢁓
a00062-005	𢁳
a00062-008	
a00062-009	
a00062-010	
a00062-011	
a00062-012	
a00062-014	
a00062-015	㐪
a00062-016	
a00062-019	𧰧
a00062-020	
a00063	亨
a00063-001	𠅖
a00063-002	
a00063-003	亯
a00063-004	
a00063-005	享
a00064	享
a00064-001	亯
a00064-002	𠅠
a00064-003	𦕺
a00064-004	𦴒
a00064-005	
a00064-006	
a00064-007	
a00064-008	
a00064-009	畗
a00064-010	亨
a00064-011	
a00064-012	
a00064-013	
a00064-014	
a00064-015	
a00064-016	
a00064-017	𠅖
a00064-018	
a00065	京
a00065-001	亰
