H1.1360	俅
H1.1360	俌
H1.1360-H1.1361	便
H1.1369	俉
H1.1369	侲
H1.1369	俠
H1.1370	𠈵
H1.1370-H1.1371	修
H1.1382	俏
H1.1383-H1.1384	俚
H1.1385	俣
H1.1385	俔
H1.1385-H1.1386	保
H1.1397	俜
H1.1397	促
H1.1400	俋
H1.1400	俄
H1.1401	俐
H1.1401	侮
H1.1403	俆
H1.1403	俙
H1.1403	俗
H1.1409-H1.1410	俘
H1.1411	俛
H1.1412	俇
H1.1412	係
H1.1414-H1.1415	信
H1.1424	侻
H1.1424	俍
H1.1424	侰
H1.1424-H1.1425	侵
H1.1431	侯
H1.1433	侷
H1.1433	俟
H1.1434	俊
H1.1438-H1.1439	倉
H1.1441	俸
H1.1443	倩
H1.1444	俵
H1.1445	倀
H1.1445	倰
H1.1445	倖
H1.1446	倛
H1.1446-H1.1447	借
H1.1454	值
H1.1455	倳
H1.1456	倚
H1.1462	俺
H1.1463	倈
H1.1463	倢
H1.1463	俴
H1.1463-H1.1464	倒
H1.1476	俳
H1.1477	俶
H1.1478	倬
H1.1478-H1.1479	條
H1.1488	倏
H1.1489-H1.1490	脩
H1.1496	倘
H1.1497	俱
H1.1497	倮
H1.1498	倱
H1.1498	倡
H1.1501	個
H1.1503	候
H1.1507	倭
H1.1508	倠
H1.1508	倪
H1.1508	俾
H1.1509	倫
H1.1511	倗
H1.1511	俷
H1.1511	倜
H1.1511	𠉣
H1.1511-H1.1512	俯
H1.1514	倅
H1.1515	倍
H1.1517	倣
H1.1517	𠉪
H1.1518	倦
H1.1519	倓
H1.1519	倌
H1.1519	倥
H1.1520	倇
H1.1520	健
H1.1523	倨
H1.1524	倔
H1.1525	偆
H1.1525	偞
H1.1525-H1.1526	做
H1.1532-H1.1533	偃
H1.1537	偪
H1.1538	偠
H1.1538	𠊳
H1.1538	偭
H1.1538-H1.1539	偕
H1.1539	偵
H1.1540-H1.1541	側
H1.1545-H1.1546	偶
H1.1548	偈
H1.1549	偎
H1.1550	偲
H1.1550	偢
H1.1550	偟
H1.1550	傀
H1.1551	偊
H1.1551-H1.1552	偷
H1.1555	偁
H1.1556	偬
